nombre_carrera,fecha,categoria,url_base,paginas_leidas,n_masculino,n_femenino,n_desconocido,n_total,n_filas_unicas,n_filas_sin_codigo
XI TRÍATLON CONCELLO DE PORRIÑO-TUI,14 jun. 2026,EQUIPOS FEMENINA TRI PORRIÑO 2026,https://ccnorte.com/resultados/xi-triatlon-concello-de-porrino-tui/equipos/equipos-femenina-tri-porrino-2026/1,1,0,0,0,0,5,5
XI TRÍATLON CONCELLO DE PORRIÑO-TUI,14 jun. 2026,POPULAR MASCULINA,https://ccnorte.com/resultados/xi-triatlon-concello-de-porrino-tui/popular-masculina/1,3,56,0,0,56,56,0
XI TRÍATLON CONCELLO DE PORRIÑO-TUI,14 jun. 2026,MASCULINA,https://ccnorte.com/resultados/xi-triatlon-concello-de-porrino-tui/masculina/1,4,83,0,0,83,83,0
ANDAINA 25KM INTERNACIONAL FRIOL,14 jun. 2026,NORDIC WALKING MOUNTAIN 25K,https://ccnorte.com/resultados/andaina-internacional-friol/nordic-walking-mountain/1,1,0,0,16,16,16,0
ANDAINA 25KM INTERNACIONAL FRIOL,14 jun. 2026,NORDIC WALKING MOUNTAIN 16K,https://ccnorte.com/resultados/andaina-internacional-friol/nordic-walking-mountain-16k/1,1,3,13,6,22,22,0
IX BTT “OS PICOS DE MAZARICOS”,31 may. 2026,RUTA CURTA,https://ccnorte.com/resultados/ix-btt-os-picos-de-mazaricos/ruta-curta/1,1,24,0,0,24,24,0
IV TRAIL “RUTA DOS MUIÑOS” RIOTORTO 2026,23 may. 2026,TRAIL,https://ccnorte.com/resultados/iv-trail-ruta-dos-muinos-riotorto-2025/trail/1,2,28,6,0,34,34,0
ANDAINA 25KM INTERNACIONAL FRIOL,14 jun. 2026,ANDAINA 8K-16K,https://ccnorte.com/resultados/andaina-internacional-friol/andaina-16k/1,4,27,46,22,95,95,0
IX BTT “OS PICOS DE MAZARICOS”,31 may. 2026,RUTA LONGA,https://ccnorte.com/resultados/ix-btt-os-picos-de-mazaricos/ruta-longa/1,4,73,4,0,77,77,0
IV TRAIL “RUTA DOS MUIÑOS” RIOTORTO 2026,23 may. 2026,MINITRAIL,https://ccnorte.com/resultados/iv-trail-ruta-dos-muinos-riotorto-2025/minitrail/1,4,48,31,0,79,79,0
POSEIDON RACE CERCEDA 2026,16 may. 2026,ELITE,https://ccnorte.com/resultados/poseidon-race-cerceda-2026/elite/1,3,58,14,0,72,72,0
POSEIDON RACE CERCEDA 2026,16 may. 2026,PAREJAS,https://ccnorte.com/resultados/poseidon-race-cerceda-2026/parejas/1,2,28,22,0,50,50,0
XV CARREIRA POPULAR DE CHANTADA.10 km no corazón,09 may. 2026,SUB14 (2013-2014)-SUB16 (2011-2012),https://ccnorte.com/resultados/xv-carreira-popular-de-chantada10-km-no-corazon/sub14-2013-2014-sub16-2011-2012/1,1,8,4,0,12,12,0
ANDAINA 25KM INTERNACIONAL FRIOL,14 jun. 2026,ANDAINA 25KM,https://ccnorte.com/resultados/andaina-internacional-friol/andaina-25km/1,7,0,0,165,165,165,0
XII CARREIRA POPULAR DE FRIOL,02 may. 2026,PEQUENIÑOS (2019-2020),https://ccnorte.com/resultados/xii-carreira-popular-de-friol/pequeninos-2019-2020/1,1,19,0,0,19,19,0
IX EDICION SAMURAI XTREME RACE 2026,04 jul. 2026,POPULAR,https://ccnorte.com/resultados/ix-edicion-samurai-xtreme-race-2026/popular/1,27,401,254,0,655,654,0
XII CARREIRA POPULAR DE FRIOL,02 may. 2026,PEQUENIÑAS (2019-2020),https://ccnorte.com/resultados/xii-carreira-popular-de-friol/pequeninas-2019-2020/1,1,0,9,0,9,9,0
XII CARREIRA POPULAR DE FRIOL,02 may. 2026,BENXAMIN (2017-2018),https://ccnorte.com/resultados/xii-carreira-popular-de-friol/benxamin-2017-2018/1,1,15,7,0,22,22,0
XII CARREIRA POPULAR DE FRIOL,02 may. 2026,ALEVÍN (2015-2016),https://ccnorte.com/resultados/xii-carreira-popular-de-friol/alevin-2015-2016/1,1,10,11,0,21,21,0
