event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,inscrits,DNF_total,DSQ_total,DNS_total,esport,classificat_sexe_desconegut
176,II CARRERA POPULAR AGRUPACIÓN DE MOGÓN,2017-10-01,Agrupación de Mogón (Villacarrillo),LOCAL,local,ok,,57,0,0,57,,,,,Carrera,57
178,I CARRERA - MARCHA SOLIDARIA HERMANDAD DE LA MISERICORDIA,2017-09-30,SAN FERNANDO,400 M.,400m,ok,,238,0,0,238,,,,,Carrera,238
178,I CARRERA - MARCHA SOLIDARIA HERMANDAD DE LA MISERICORDIA,2017-09-30,SAN FERNANDO,GENERAL,general,ok,,238,206,32,238,,,,,Carrera,0
135,IV CXM SIERRA DE SEGURA SANTIAGO- PONTONES,2017-09-24,SANTIAGO DELA ESPADA,TRAIL,trail,ok,,129,0,0,129,,,,,Carrera,129
135,IV CXM SIERRA DE SEGURA SANTIAGO- PONTONES,2017-09-24,SANTIAGO DELA ESPADA,MINI TRAIL,minitrail,ok,,53,0,0,53,,,,,Carrera,53
184,V MARATON BTT CARMONA-LA CAMPANA DESERT,2017-09-24,CARMONA,LARGA,larga,ok,,236,21,0,236,,,,,Ciclismo,215
184,V MARATON BTT CARMONA-LA CAMPANA DESERT,2017-09-24,CARMONA,CORTA,corta,ok,,26,2,0,26,,,,,Ciclismo,24
184,V MARATON BTT CARMONA-LA CAMPANA DESERT,2017-09-24,CARMONA,LARGA CON PUNTOS,largaconpuntos,ok,,247,0,0,247,,,,,Ciclismo,247
184,V MARATON BTT CARMONA-LA CAMPANA DESERT,2017-09-24,CARMONA,CORTA CON PUNTOS,cortaconpuntos,ok,,33,0,0,33,,,,,Ciclismo,33
133,ULTRA TRAIL SIERRA DE SEGURA,2017-09-23,SANTIAGO DE LA ESPADA,CON PUNTOS INTERMEDIOS,conpuntosintermedios,ok,,58,0,0,58,,,,,Carrera,58
133,ULTRA TRAIL SIERRA DE SEGURA,2017-09-23,SANTIAGO DE LA ESPADA,ULTRA PODIIUM,ultrapodiium,ok,,23,0,0,23,,,,,Carrera,23
133,ULTRA TRAIL SIERRA DE SEGURA,2017-09-23,SANTIAGO DE LA ESPADA,LONG CON PUNTOS INTERMEDIOS,longconpuntosintermedios,ok,,133,0,0,133,,,,,Carrera,133
133,ULTRA TRAIL SIERRA DE SEGURA,2017-09-23,SANTIAGO DE LA ESPADA,RELEVOS,relevos,llista_error,no s'ha trobat cap taula al PDF (format no reconegut per pdfplumber),,,,,,,,,Carrera,
166,XIV SUBIDA AL PANTANO DEL QUIEBRAJANO,2017-09-17,JAEN,GENERAL,general,ok,,637,562,75,637,,,,,Carrera,0
166,XIV SUBIDA AL PANTANO DEL QUIEBRAJANO,2017-09-17,JAEN,LOCAL,local,ok,,330,289,41,330,,,,,Carrera,0
174,II CARRERA POPULAR VILLA DE RUS,2017-09-16,RUS,INFANTIL CADETE,infantilcadete,ok,,16,0,0,16,,,,,Carrera,16
174,II CARRERA POPULAR VILLA DE RUS,2017-09-16,RUS,ABSOLUTA,absoluta,ok,,123,102,21,123,,,,,Carrera,0
149,IV CXM SIERRA DE CAZORLA,2017-09-10,CAZORLA,JUNIOR CADETES,juniorcadetes,ok,,14,0,0,14,,,,,Carrera por montaña,14
149,IV CXM SIERRA DE CAZORLA,2017-09-10,CAZORLA,ABSOLUTA,absoluta,ok,,119,0,0,119,,,,,Carrera por montaña,119
138,V TRIATLON SAN ROQUE,2017-09-09,SAN ROQUE,GENERAL,general,ok,,213,174,39,213,,,,,Triatlón,0
,"I FESTIVAL BENÉFICO ""YO ME UNO AL RETTO""",2017-09-03,PUERTO REAL,,,sense_resultats,,,,,,,,,,Carrera,
177,III CARRERA POPULAR POR EL SINDROME DE RETT # YO ME UNO AL RETTO,2017-09-03,PUERTO REAL,ADULTOS 10 K,adultos10k,ok,,198,19,21,198,,,,,Carrera,158
177,III CARRERA POPULAR POR EL SINDROME DE RETT # YO ME UNO AL RETTO,2017-09-03,PUERTO REAL,ADULTOS 5K,adultos5k,ok,,66,0,0,66,,,,,Carrera,66
177,III CARRERA POPULAR POR EL SINDROME DE RETT # YO ME UNO AL RETTO,2017-09-03,PUERTO REAL,BENJAMIN CADETE,benjamincadete,ok,,46,0,0,46,,,,,Carrera,46
158,III EXTREME NATURAL TESORILLO,2017-08-27,SAN MARTIN DEL TESORILLO,ELITE,elite,ok,,53,40,13,53,,,,,Carrera,0
158,III EXTREME NATURAL TESORILLO,2017-08-27,SAN MARTIN DEL TESORILLO,POPULAR,popular,ok,,209,158,51,209,,,,,Carrera,0
172,XXIII TRAVESÍA A NADO DE LA PLAYA CHICA,2017-08-15,TARIFA,ALEVIN,alevin,ok,,14,0,0,14,,,,,Travesía,14
172,XXIII TRAVESÍA A NADO DE LA PLAYA CHICA,2017-08-15,TARIFA,BENJAMIN,benjamin,ok,,16,0,0,16,,,,,Travesía,16
172,XXIII TRAVESÍA A NADO DE LA PLAYA CHICA,2017-08-15,TARIFA,ABSOLUTA,absoluta,ok,,78,0,0,78,,,,,Travesía,78
175,XXII CRONOESCALADA JABALCÓN 2017,2017-08-15,ZUJAR,GENERAL,general,ok,,73,66,7,73,,,,,Ciclismo,0
175,XXII CRONOESCALADA JABALCÓN 2017,2017-08-15,ZUJAR,LOCAL,local,ok,,9,0,0,9,,,,,Ciclismo,9
